,ID,Title,Director,Release_Year,Original_Lang,Main_Genre,Genres,Runtime,User_Score,Ratings,Budget,Revenue,URL
67,207,Dead Poets Society,Peter Weir,1989,English,Drama,[],128,83.0,9535,16400000,235860116,https://www.themoviedb.org/movie/207-dead-poets-society
68,630566,Clouds,Kara Holden,2020,English,Music,"['Drama', 'Romance']",121,83.0,886,-,-,https://www.themoviedb.org/movie/630566-clouds
69,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Haruo Sotozaki,2020,Japanese,Animation,"['Action', 'Adventure', 'Fantasy']",117,83.0,2789,15800000,503063688,https://www.themoviedb.org/movie/635302-demon-slayer--kimetsu-no-yaiba--the-movie:-mugen-train
70,527641,Five Feet Apart,Justin Baldoni,2019,English,Romance,['Drama'],116,83.0,4951,7000000,91500000,https://www.themoviedb.org/movie/527641-five-feet-apart
71,25237,Come and See,Elem Klimov,1985,Russian,Drama,['War'],142,83.0,1021,-,168817,https://www.themoviedb.org/movie/25237-come-and-see
72,335,Once Upon a Time in the West,Sergio Leone,1968,Italian,Drama,['Western'],166,83.0,3567,5000000,5380118,https://www.themoviedb.org/movie/335-once-upon-a-time-in-the-west
73,447362,Life in a Year,Mitja Okorn,2020,English,Drama,['Romance'],107,83.0,1169,-,-,https://www.themoviedb.org/movie/447362-life-in-a-year
74,762975,Purple Hearts,Elizabeth Allen Rosenbaum,2022,English,Romance,['Drama'],122,83.0,1704,-,-,https://www.themoviedb.org/movie/762975-purple-hearts
75,105,Back to the Future,Robert Zemeckis,1985,English,Adventure,"['Comedy', 'ScienceFiction']",116,83.0,17177,19000000,381109762,https://www.themoviedb.org/movie/105-back-to-the-future
76,556574,Hamilton,Thomas Kail,2020,English,History,['Drama'],160,83.0,1039,-,-,https://www.themoviedb.org/movie/556574-hamilton
77,810693,Jujutsu Kaisen 0,Sunghoo Park,2021,Japanese,Animation,"['Action', 'Fantasy']",105,83.0,667,-,161577527,https://www.themoviedb.org/movie/810693-jujutsu-kaisen-0
78,975,Paths of Glory,Stanley Kubrick,1957,English,Drama,['War'],88,83.0,2317,935000,-,https://www.themoviedb.org/movie/975-paths-of-glory
79,29259,Le Trou,Jacques Becker,1960,French,Crime,"['Drama', 'Thriller', 'History']",132,83.0,350,-,33187,https://www.themoviedb.org/movie/29259-le-trou
80,618344,Justice League Dark: Apokolips War,Mairghread Scott,2020,English,Animation,"['Action', 'ScienceFiction']",90,83.0,1240,-,-,https://www.themoviedb.org/movie/618344-justice-league-dark:-apokolips-war
81,10494,Perfect Blue,Satoshi Kon,1997,Japanese,Animation,['Thriller'],81,83.0,1858,830000,112536,https://www.themoviedb.org/movie/10494-perfect-blue
82,28,Apocalypse Now,Francis Ford Coppola,1979,English,Drama,['War'],147,83.0,6831,31500000,150000000,https://www.themoviedb.org/movie/28-apocalypse-now
83,299534,Avengers: Endgame,Stan Lee,2019,English,Adventure,"['ScienceFiction', 'Action']",181,83.0,22124,356000000,2797800564,https://www.themoviedb.org/movie/299534-avengers:-endgame
84,637920,Miracle in Cell No. 7,Mehmet Ada Öztekin,2019,Turkish,Drama,[],132,83.0,4038,-,19289062,https://www.themoviedb.org/movie/637920-miracle-in-cell-no.-7
85,572154,Rascal Does Not Dream of a Dreaming Girl,Souichi Masui,2019,Japanese,Animation,"['Comedy', 'Romance', 'Drama', 'Fantasy']",90,83.0,408,-,-,https://www.themoviedb.org/movie/572154-rascal-does-not-dream-of-a-dreaming-girl
86,42269,We All Loved Each Other So Much,Ettore Scola,1974,Italian,Drama,['Comedy'],124,83.0,440,-,-,https://www.themoviedb.org/movie/42269-we-all-loved-each-other-so-much
87,537061,Steven Universe: The Movie,Rebecca Sugar,2019,English,Animation,"['Family', 'Fantasy', 'TVMovie', 'ScienceFiction', 'Adventure', 'Music']",82,83.0,696,-,-,https://www.themoviedb.org/movie/537061-steven-universe:-the-movie
88,16672,Woman in the Dunes,Kōbō Abe,1964,Japanese,Drama,['Thriller'],147,83.0,308,-,-,https://www.themoviedb.org/movie/16672-woman-in-the-dunes
89,77338,The Intouchables,Éric Toledano,2011,French,Drama,['Comedy'],113,83.0,15162,13000000,426588510,https://www.themoviedb.org/movie/77338-the-intouchables
90,670,Oldboy,Park Chan-wook,2003,Korean,Drama,"['Thriller', 'Mystery', 'Action']",120,83.0,7063,3000000,15194593,https://www.themoviedb.org/movie/670-oldboy
91,265177,Mommy,Xavier Dolan,2014,French,Drama,[],138,83.0,2386,4900000,3494070,https://www.themoviedb.org/movie/265177-mommy
92,10376,The Legend of 1900,Giuseppe Tornatore,1998,Italian,Drama,"['Music', 'Romance']",170,83.0,1929,9000000,21057208,https://www.themoviedb.org/movie/10376-the-legend-of-1900
93,299536,Avengers: Infinity War,Anthony Russo,2018,English,Adventure,"['Action', 'ScienceFiction']",149,83.0,25755,300000000,2046239637,https://www.themoviedb.org/movie/299536-avengers:-infinity-war
94,1585,It's a Wonderful Life,Frank Capra,1946,English,Drama,"['Family', 'Fantasy']",130,83.0,3483,3180000,9644124,https://www.themoviedb.org/movie/1585-it-s-a-wonderful-life
95,518068,Along with the Gods: The Last 49 Days,Kim Yong-hwa,2018,Korean,Drama,"['Fantasy', 'Action']",141,83.0,419,18300000,112790210,https://www.themoviedb.org/movie/518068-along-with-the-gods:-the-last-49-days
96,290098,The Handmaiden,Park Chan-wook,2016,Korean,Thriller,"['Drama', 'Romance']",145,83.0,2898,8575000,37767206,https://www.themoviedb.org/movie/290098-the-handmaiden
97,522924,The Art of Racing in the Rain,Simon Curtis,2019,English,Comedy,"['Drama', 'Romance']",109,83.0,1132,18000000,33766787,https://www.themoviedb.org/movie/522924-the-art-of-racing-in-the-rain
98,508965,Klaus,Sergio Pablos,2019,English,Animation,"['Family', 'Adventure', 'Comedy', 'Fantasy']",96,83.0,3103,-,-,https://www.themoviedb.org/movie/508965-klaus
99,8587,The Lion King,Roger Allers,1994,English,Family,"['Animation', 'Drama']",89,83.0,15928,45000000,763455561,https://www.themoviedb.org/movie/8587-the-lion-king
100,18148,Tokyo Story,Yasujirō Ozu,1953,Japanese,Drama,[],137,83.0,806,-,-,https://www.themoviedb.org/movie/18148-tokyo-story
101,797,Persona,Ingmar Bergman,1966,Swedish,Drama,[],83,83.0,1714,-,-,https://www.themoviedb.org/movie/797-persona
102,476292,Maquia: When the Promised Flower Blooms,Mari Okada,2018,Japanese,Animation,"['Fantasy', 'Romance', 'Drama']",115,83.0,493,-,4300000,https://www.themoviedb.org/movie/476292-maquia:-when-the-promised-flower-blooms
103,532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,Takaomi Kanasaki,2019,Japanese,Animation,"['Adventure', 'Comedy', 'Fantasy']",90,83.0,419,-,-,https://www.themoviedb.org/movie/532067-konosuba:-god-s-blessing-on-this-wonderful-world!-legend-of-crimson
104,592350,My Hero Academia: Heroes Rising,Kohei Horikoshi,2019,Japanese,Animation,"['Action', 'Fantasy', 'Adventure']",104,82.0,983,-,29900850,https://www.themoviedb.org/movie/592350-my-hero-academia:-heroes-rising
105,24188,Il Sorpasso,Dino Risi,1962,Italian,Drama,['Comedy'],105,82.0,596,-,-,https://www.themoviedb.org/movie/24188-il-sorpasso
106,490132,Green Book,Peter Farrelly,2018,English,Drama,['Comedy'],130,82.0,9542,23000000,319700000,https://www.themoviedb.org/movie/490132-green-book
107,791373,Zack Snyder's Justice League,Zack Snyder,2021,English,Action,"['Adventure', 'Fantasy', 'ScienceFiction']",242,82.0,8328,70000000,657900000,https://www.themoviedb.org/movie/791373-zack-snyder-s-justice-league
108,14002,Baraka,Ron Fricke,1992,English,Documentary,[],97,82.0,483,4000000,-,https://www.themoviedb.org/movie/14002-baraka
109,803,Night and Fog,Alain Resnais,1955,French,History,"['Documentary', 'War']",32,82.0,362,-,-,https://www.themoviedb.org/movie/803-night-and-fog
110,313106,Doctor Who: The Day of the Doctor,Nick Hurran,2013,English,ScienceFiction,['Adventure'],77,82.0,661,-,10000000,https://www.themoviedb.org/movie/313106-doctor-who:-the-day-of-the-doctor
111,110420,Wolf Children,Mamoru Hosoda,2012,Japanese,Animation,"['Drama', 'Family', 'Fantasy']",117,82.0,1878,-,55060661,https://www.themoviedb.org/movie/110420-wolf-children
112,5156,Bicycle Thieves,Vittorio De Sica,1948,Italian,Drama,[],89,82.0,1944,133000,436655,https://www.themoviedb.org/movie/5156-bicycle-thieves
113,755812,"Miraculous World: New York, United HeroeZ",Thomas Astruc,2020,French,Animation,"['Family', 'Adventure', 'TVMovie', 'Fantasy', 'Action']",55,82.0,944,-,-,"https://www.themoviedb.org/movie/755812-miraculous-world:-new-york,-united-heroez"
114,504253,I Want to Eat Your Pancreas,Shinichiro Ushijima,2018,Japanese,Animation,"['Drama', 'Romance']",108,82.0,1110,-,33748006,https://www.themoviedb.org/movie/504253-i-want-to-eat-your-pancreas
115,284,The Apartment,Billy Wilder,1960,English,Comedy,"['Drama', 'Romance']",125,82.0,1813,3000000,25000000,https://www.themoviedb.org/movie/284-the-apartment
